Tempo_µs,Ciclo_CPU,Referencia_Motor,Vel_Real
4462892.0,23920.0,375.0,589.0
4486736.0,23920.0,375.0,589.0
4510748.0,23936.0,375.0,1125.0
4535616.0,24944.0,375.0,1125.0
4560652.0,24960.0,375.0,910.0
4584504.0,23928.0,375.0,910.0
4608492.0,23912.0,375.0,803.0
4632336.0,23920.0,375.0,803.0
4656332.0,23920.0,375.0,1071.0
4681216.0,24960.0,375.0,1071.0
4706260.0,24960.0,375.0,910.0
4730096.0,23920.0,375.0,910.0
4754092.0,23920.0,375.0,857.0
4777936.0,23920.0,375.0,857.0
4801932.0,23920.0,375.0,1071.0
4826824.0,24968.0,375.0,1071.0
4851852.0,24952.0,375.0,964.0
4875696.0,23920.0,375.0,964.0
4899692.0,23920.0,375.0,910.0
4923536.0,23920.0,375.0,910.0
4947532.0,23920.0,375.0,803.0
4971376.0,23920.0,375.0,803.0
4995372.0,23920.0,375.0,910.0
5019216.0,23920.0,375.0,910.0
5043216.0,23920.0,375.0,857.0
5067056.0,23920.0,375.0,857.0
5091052.0,23920.0,375.0,803.0
5114904.0,23920.0,375.0,803.0
5138892.0,23920.0,375.0,1017.0
5163776.0,24960.0,375.0,1017.0
5188812.0,24960.0,375.0,803.0
5212656.0,23920.0,375.0,803.0
5236648.0,23920.0,375.0,750.0
5260496.0,23920.0,375.0,750.0
5284492.0,23920.0,375.0,1017.0
5309376.0,24964.0,375.0,1017.0
5334412.0,24956.0,375.0,910.0
5358256.0,23920.0,375.0,910.0
5382260.0,23920.0,375.0,696.0
5406096.0,23920.0,375.0,696.0
5430088.0,23920.0,375.0,750.0
5453936.0,23924.0,375.0,750.0
5477932.0,23916.0,375.0,1178.0
5502816.0,24960.0,375.0,1178.0
5527848.0,24960.0,375.0,750.0
5551696.0,23920.0,375.0,750.0
5575700.0,23920.0,375.0,1285.0
5600576.0,24960.0,375.0,1285.0
5625612.0,24960.0,375.0,1017.0
5650496.0,24960.0,375.0,1017.0
5675548.0,24960.0,375.0,1017.0
5700416.0,24960.0,375.0,1017.0
5725452.0,24960.0,375.0,803.0
5749296.0,23920.0,375.0,803.0
5773304.0,23920.0,375.0,964.0
5797136.0,23920.0,375.0,964.0
5821132.0,23920.0,375.0,1071.0
5846024.0,24960.0,375.0,1071.0
5871052.0,24960.0,375.0,1017.0
5895936.0,24960.0,375.0,1017.0
5920972.0,24960.0,375.0,964.0
5944816.0,23920.0,375.0,964.0
5968812.0,23920.0,375.0,696.0
5992656.0,23924.0,375.0,696.0
6016652.0,23916.0,375.0,964.0
6040496.0,23920.0,375.0,964.0
6064492.0,23920.0,375.0,1017.0
6089376.0,24960.0,375.0,1017.0
6114416.0,24960.0,375.0,857.0
6138264.0,23928.0,375.0,857.0
6162252.0,23912.0,375.0,696.0
6186096.0,23920.0,375.0,696.0
6210092.0,23920.0,375.0,857.0
6233936.0,23924.0,375.0,857.0
6257932.0,23916.0,375.0,1017.0
6282816.0,24960.0,375.0,1017.0
6307860.0,24960.0,375.0,910.0
6331696.0,23920.0,375.0,910.0
6355692.0,23920.0,375.0,910.0
6379544.0,23920.0,375.0,910.0
6403532.0,23924.0,375.0,1017.0
6428416.0,24956.0,375.0,1017.0
6453448.0,24960.0,375.0,1125.0
6478336.0,24960.0,375.0,1125.0
6503372.0,24960.0,375.0,964.0
6527216.0,23920.0,375.0,964.0
6551212.0,23920.0,375.0,1232.0
6576096.0,24960.0,375.0,1232.0
6601132.0,24960.0,375.0,857.0
6624976.0,23920.0,375.0,857.0
6648972.0,23920.0,375.0,1178.0
6673856.0,24960.0,375.0,1178.0
6698892.0,24960.0,375.0,910.0
6722736.0,23920.0,375.0,910.0
6746732.0,23920.0,375.0,910.0
6770576.0,23924.0,375.0,910.0
6794572.0,23920.0,375.0,910.0
6818416.0,23916.0,375.0,910.0
6842416.0,23920.0,375.0,1125.0
6867296.0,24960.0,375.0,1125.0
6892332.0,24960.0,375.0,857.0
6916176.0,23920.0,375.0,857.0
6940172.0,23920.0,375.0,857.0
6964016.0,23920.0,375.0,857.0
6988012.0,23920.0,375.0,803.0
7011856.0,23920.0,375.0,803.0
7035852.0,23920.0,375.0,964.0
7059696.0,23920.0,375.0,964.0
7083692.0,23924.0,375.0,1178.0
7108576.0,24956.0,375.0,1178.0
7133612.0,24960.0,375.0,910.0
7157456.0,23920.0,375.0,910.0
7181452.0,23920.0,375.0,1071.0
7206336.0,24960.0,375.0,1071.0
7231372.0,24960.0,375.0,964.0
7255216.0,23920.0,375.0,964.0
7279212.0,23920.0,375.0,857.0
7303056.0,23920.0,375.0,857.0
7327052.0,23920.0,375.0,857.0
7350896.0,23924.0,375.0,857.0
7374896.0,23920.0,375.0,964.0
7398736.0,23916.0,375.0,964.0
7422732.0,23920.0,375.0,1017.0
7447616.0,24964.0,375.0,1017.0
7472664.0,24960.0,375.0,803.0
7496496.0,23916.0,375.0,803.0
7520492.0,23920.0,375.0,964.0
7544336.0,23920.0,375.0,964.0
7568332.0,23920.0,375.0,857.0
7592176.0,23920.0,375.0,857.0
7616172.0,23920.0,375.0,1232.0
7641056.0,24960.0,375.0,1232.0
7666092.0,24960.0,375.0,1071.0
7690976.0,24960.0,375.0,1071.0
7716008.0,24960.0,375.0,1125.0
7740896.0,24960.0,375.0,1125.0
7765932.0,24960.0,375.0,910.0
7789776.0,23920.0,375.0,910.0
7813772.0,23920.0,375.0,803.0
7837616.0,23920.0,375.0,803.0
7861612.0,23920.0,375.0,803.0
7885456.0,23920.0,375.0,803.0
7909460.0,23920.0,375.0,1017.0
7934336.0,24960.0,375.0,1017.0
7959372.0,24960.0,375.0,857.0
7983216.0,23920.0,375.0,857.0
8007212.0,23920.0,375.0,910.0
8031056.0,23920.0,375.0,910.0
8055052.0,23920.0,375.0,910.0
8078896.0,23924.0,375.0,910.0
8102892.0,23916.0,375.0,1071.0
8127776.0,24960.0,375.0,1071.0
8152812.0,24960.0,375.0,1017.0
8177704.0,24960.0,375.0,1017.0
8202732.0,24960.0,375.0,1017.0
8227616.0,24964.0,375.0,1017.0
8252652.0,24956.0,375.0,964.0
8276496.0,23924.0,375.0,964.0
8300492.0,23920.0,375.0,910.0
8324336.0,23916.0,375.0,910.0
8348332.0,23920.0,375.0,857.0
8372176.0,23920.0,375.0,857.0
8396168.0,23920.0,375.0,750.0
8420016.0,23924.0,375.0,750.0
8444020.0,23920.0,375.0,910.0
8467856.0,23916.0,375.0,910.0
8491852.0,23920.0,375.0,964.0
8515696.0,23920.0,375.0,964.0
8539692.0,23920.0,375.0,910.0
8563536.0,23924.0,375.0,910.0
8587528.0,23916.0,375.0,1125.0
8612416.0,24960.0,375.0,1125.0
8637460.0,24964.0,375.0,910.0
8661296.0,23916.0,375.0,910.0
8685292.0,23920.0,375.0,1017.0
8710184.0,24960.0,375.0,1017.0
8735212.0,24960.0,375.0,803.0
8759056.0,23924.0,375.0,803.0
8783052.0,23916.0,375.0,910.0
8806896.0,23920.0,375.0,910.0
8830892.0,23920.0,375.0,857.0
8854736.0,23920.0,375.0,857.0
8878732.0,23920.0,375.0,1017.0
8903616.0,24960.0,375.0,1017.0
8928652.0,24960.0,375.0,1071.0
8953536.0,24960.0,375.0,1071.0
8978572.0,24960.0,375.0,964.0
9002416.0,23924.0,375.0,964.0
9026412.0,23916.0,375.0,964.0
9050256.0,23920.0,375.0,964.0
9074248.0,23920.0,375.0,1125.0
9099136.0,24960.0,375.0,1125.0
9124172.0,24960.0,375.0,910.0
9148016.0,23920.0,375.0,910.0
9172028.0,23920.0,375.0,1017.0
9196896.0,24960.0,375.0,1017.0
9221928.0,24964.0,375.0,750.0
9245776.0,23916.0,375.0,750.0
9269772.0,23924.0,375.0,857.0
9293616.0,23916.0,375.0,857.0
9317612.0,23920.0,375.0,964.0
9341456.0,23920.0,375.0,964.0
9365452.0,23920.0,375.0,1071.0
9390336.0,24964.0,375.0,1071.0
